Month/Year,License Class,Trips Per Day,Farebox Per Day,Unique Drivers,Unique Vehicles,Vehicles Per Day,Avg Days Vehicles on Road,Avg Hours Per Day Per Vehicle,Avg Days Drivers on Road,Avg Hours Per Day Per Driver,Avg Minutes Per Trip,Percent of Trips Paid with Credit Card,Trips Per Day Shared
2018-02,Green,"27,461","360,001","4,260","3,920","3,058",21.8,5.9,20.6,5.7,12.9,55%,-
2018-02,Yellow,"303,280","4,138,935","24,641","12,490","11,535",25.9,12.1,19.9,8,13.1,71%,-
2018-01,FHV - Black Car,"15,445",-,"7,464","7,410","3,778",15.8,3.4,15.7,3.4,35,-,-
2018-01,FHV - High Volume,"555,031",-,"72,719","71,484","46,403",20.1,6.2,19.9,6.1,18,-,"126,738"
2018-01,FHV - Livery,"62,222",-,"13,961","12,751","8,389",20.4,5.4,19,5.3,17,-,15
2018-01,FHV - Lux Limo,"3,142",-,"3,385","3,299","1,378",13,2.2,13.1,2.2,63,-,-
2018-01,Green,"25,564","331,105","4,377","4,021","2,983",23,5.7,21.6,5.5,12.8,53%,-
2018-01,Yellow,"282,565","3,863,024","24,923","12,599","11,304",27.8,11.6,21.1,7.7,13.1,70%,-
2017-12,FHV - Black Car,"15,541",-,"7,789","7,703","3,720",15,3.4,14.9,3.4,35,-,-
2017-12,FHV - High Volume,"553,632",-,"71,671","70,194","46,799",20.7,6.3,20.5,6.2,20,-,"118,649"
2017-12,FHV - Livery,"64,462",-,"13,592","12,966","8,994",21.5,5.3,21,5.2,18,-,12
2017-12,FHV - Lux Limo,"3,139",-,"3,479","3,331","1,343",12.5,2.3,12.4,2.2,69,-,-
2017-12,Green,"29,223","383,355","4,497","4,117","3,200",24.1,5.9,22.6,5.8,13,51%,-
2017-12,Yellow,"306,706","4,407,843","26,038","12,685","11,743",28.7,12.2,21.8,7.8,14.5,66%,-
2017-11,FHV - Black Car,"15,718",-,"7,376","7,331","3,859",15.8,3.4,15.8,3.4,37,-,-
